Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C23, C24, C25, C30, C31, C32, C37, C38, C39",0603,13,1uF,
"C10, C16, C22, C27, C29, C34, C36, C41, C43",1206,9,22uF,
"C11, C17, C19, C2, C21, C28, C3, C35, C4, C5, C7, C8",0603,12,100nF,
"C12, C26, C33, C40",0603,4,47nF,
"C18, C20, C42",0603,3,10uF,
C44,0603,1,10nF,
C45,0603,1,2.2uF,
C6,0603,1,4.7uF,
C9,CP_Elec_10x10.5,1,330uF,
D1,D_SOD-123,1,BZT52H-B12,
D2,D_SMA_Handsoldering,1,SMAJ18A,
D3,0402,1,LED_Small,
J1,PinSocket_1x05_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x05_Socket,
J14,SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm,1,Conn_01x02,
J15,PinSocket_1x04_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x04_Socket,
"L1, L2, L3, L4, L5",1008,5,2.2uH,
Q1,PowerPAK_SO-8_Single,1,Si7139DP,
"R1, R12, R15, R3, R4, R5, R9",0402,7,10k,
R17,0402,1,100k,
R2,0402,1,33,
R6,0402,1,220,
U1,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,
"U3, U5, U6, U7",MCF8316A_RGF0040E_VQFN-40-1EP_7x5mm_P0.5mm_EP5.5x3.5mm,4,MCF8316A,
U4,SOT-223-3_TabPin2,1,MCP1826S,
U8,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,TPS62162DSG,
U9,LGA-16_3x3mm_P0.5mm,1,ICM-20602,
