Designator,Mid X,Mid Y,Rotation,Layer
C1,151.2216,-86.277,270.0,top
C10,185.768842,-79.454854,240.524,bottom
C11,187.15,-76.3,60.524,bottom
C12,186.35,-80.1,209.476,top
C13,189.5,-78.725,29.476,top
C14,181.2,-72.175,29.476,top
C15,179.55,-82.475,209.476,top
C16,183.0,-82.7,209.476,top
C17,164.925,-101.25,0.0,bottom
C18,164.912499,-102.9,180.0,bottom
C19,159.25,-99.682501,90.0,top
C2,149.8255,-95.5005,0.0,bottom
C20,157.525,-99.687499,270.0,top
C21,113.95,-74.33,299.476,bottom
C22,116.59,-74.4,119.476,bottom
C23,122.99,-77.35,330.524,top
C24,114.07,-80.28,150.524,top
C25,115.22,-70.7,150.5242,top
C26,118.269139,-72.165602,330.5242,top
C27,122.05,-73.99,330.5242,top
C28,113.19,-124.61,240.524,bottom
C29,114.21,-121.47,60.524,bottom
C3,150.688,-93.5005,180.0,bottom
C30,120.44,-118.15,29.476,top
C31,118.30914,-127.274401,209.476,top
C32,110.95914,-121.054401,209.476,top
C33,113.82914,-119.434401,29.476,top
C34,117.29,-117.17,29.476,top
C35,186.43,-125.38,119.476,bottom
C36,182.238387,-126.796286,299.4758,bottom
C37,176.443502,-123.02606,150.5242,top
C38,186.118864,-119.127355,330.5242,top
C39,184.788056,-129.616464,330.525,top
C4,149.8255,-91.5005,0.0,bottom
C40,181.985407,-127.626923,150.5242,top
C41,178.030106,-126.097838,150.5242,top
C42,162.937499,-94.975,180.0,bottom
C43,163.4,-98.6,0.0,bottom
C44,155.71,-99.237499,270.0,top
C45,153.7,-102.61,90.0,bottom
C5,153.8255,-92.363,270.0,bottom
C6,173.9,-101.4,180.0,top
C7,155.272501,-102.42,180.0,top
C8,152.23,-102.61,90.0,bottom
C9,136.09,-97.689999,90.0,top
D1,128.725,-86.9,180.0,bottom
D2,128.99,-90.24,180.0,top
D3,159.94,-97.42,0.0,top
J1,173.84,-97.33,0.0,top
J15,145.955,-103.31,0.0,top
L1,182.487027,-82.75,330.524,bottom
L2,121.14,-74.62,119.476,bottom
L3,117.31,-118.85,240.524,bottom
L4,177.7227,-125.684144,29.476,bottom
L5,167.225,-95.612499,270.0,bottom
Q1,127.56,-92.435,180.0,bottom
R1,153.7292,-84.5782,180.0,top
R12,121.9,-120.74,209.476,top
R15,178.505609,-120.004644,330.5242,top
R17,131.71,-88.85,180.0,bottom
R2,175.59,-92.3025,90.0,top
R3,149.27,-100.59,270.0,top
R4,155.73,-99.0625,270.0,bottom
R5,178.025,-79.15,29.476,top
R6,157.61,-97.43,180.0,top
R9,121.515612,-79.950996,150.524,top
U1,151.4655,-93.163,270.0,top
U3,183.49835,-76.60963,29.475889,top
U4,163.675,-102.425,90.0,top
U5,116.50165,-76.60963,150.524,top
U6,116.50165,-123.39037,209.4759,top
U7,183.49835,-123.39037,330.524111,top
U8,163.85,-96.425,0.0,top
U9,151.868769,-102.115,270.0,top
